cards,rank,hand_class
9C JC JD JH QC,1830,TRIPS
8C JC JD JH QC,1831,TRIPS
7C JC JD JH QC,1832,TRIPS
6C JC JD JH QC,1833,TRIPS
5C JC JD JH QC,1834,TRIPS
4C JC JD JH QC,1835,TRIPS
3C JC JD JH QC,1836,TRIPS
2C JC JD JH QC,1837,TRIPS
9C TC JC JD JH,1838,TRIPS
8C TC JC JD JH,1839,TRIPS
7C TC JC JD JH,1840,TRIPS
6C TC JC JD JH,1841,TRIPS
5C TC JC JD JH,1842,TRIPS
4C TC JC JD JH,1843,TRIPS
3C TC JC JD JH,1844,TRIPS
2C TC JC JD JH,1845,TRIPS
8C 9C JC JD JH,1846,TRIPS
7C 9C JC JD JH,1847,TRIPS
6C 9C JC JD JH,1848,TRIPS
5C 9C JC JD JH,1849,TRIPS
4C 9C JC JD JH,1850,TRIPS
3C 9C JC JD JH,1851,TRIPS
2C 9C JC JD JH,1852,TRIPS
7C 8C JC JD JH,1853,TRIPS
6C 8C JC JD JH,1854,TRIPS
5C 8C JC JD JH,1855,TRIPS
4C 8C JC JD JH,1856,TRIPS
3C 8C JC JD JH,1857,TRIPS
2C 8C JC JD JH,1858,TRIPS
6C 7C JC JD JH,1859,TRIPS
5C 7C JC JD JH,1860,TRIPS
4C 7C JC JD JH,1861,TRIPS
3C 7C JC JD JH,1862,TRIPS
2C 7C JC JD JH,1863,TRIPS
5C 6C JC JD JH,1864,TRIPS
4C 6C JC JD JH,1865,TRIPS
3C 6C JC JD JH,1866,TRIPS
2C 6C JC JD JH,1867,TRIPS
4C 5C JC JD JH,1868,TRIPS
3C 5C JC JD JH,1869,TRIPS
2C 5C JC JD JH,1870,TRIPS
3C 4C JC JD JH,1871,TRIPS
2C 4C JC JD JH,1872,TRIPS
2C 3C JC JD JH,1873,TRIPS
TC TD TH KC AC,1874,TRIPS
TC TD TH QC AC,1875,TRIPS
TC TD TH JC AC,1876,TRIPS
9C TC TD TH AC,1877,TRIPS
8C TC TD TH AC,1878,TRIPS
7C TC TD TH AC,1879,TRIPS
6C TC TD TH AC,1880,TRIPS
5C TC TD TH AC,1881,TRIPS
4C TC TD TH AC,1882,TRIPS
3C TC TD TH AC,1883,TRIPS
2C TC TD TH AC,1884,TRIPS
TC TD TH QC KC,1885,TRIPS
TC TD TH JC KC,1886,TRIPS
9C TC TD TH KC,1887,TRIPS
8C TC TD TH KC,1888,TRIPS
7C TC TD TH KC,1889,TRIPS
6C TC TD TH KC,1890,TRIPS
5C TC TD TH KC,1891,TRIPS
4C TC TD TH KC,1892,TRIPS
3C TC TD TH KC,1893,TRIPS
2C TC TD TH KC,1894,TRIPS
TC TD TH JC QC,1895,TRIPS
9C TC TD TH QC,1896,TRIPS
8C TC TD TH QC,1897,TRIPS
7C TC TD TH QC,1898,TRIPS
6C TC TD TH QC,1899,TRIPS
5C TC TD TH QC,1900,TRIPS
4C TC TD TH QC,1901,TRIPS
3C TC TD TH QC,1902,TRIPS
2C TC TD TH QC,1903,TRIPS
9C TC TD TH JC,1904,TRIPS
8C TC TD TH JC,1905,TRIPS
7C TC TD TH JC,1906,TRIPS
6C TC TD TH JC,1907,TRIPS
5C TC TD TH JC,1908,TRIPS
4C TC TD TH JC,1909,TRIPS
3C TC TD TH JC,1910,TRIPS
2C TC TD TH JC,1911,TRIPS
8C 9C TC TD TH,1912,TRIPS
7C 9C TC TD TH,1913,TRIPS
6C 9C TC TD TH,1914,TRIPS
5C 9C TC TD TH,1915,TRIPS
4C 9C TC TD TH,1916,TRIPS
3C 9C TC TD TH,1917,TRIPS
2C 9C TC TD TH,1918,TRIPS
7C 8C TC TD TH,1919,TRIPS
6C 8C TC TD TH,1920,TRIPS
5C 8C TC TD TH,1921,TRIPS
4C 8C TC TD TH,1922,TRIPS
3C 8C TC TD TH,1923,TRIPS
2C 8C TC TD TH,1924,TRIPS
6C 7C TC TD TH,1925,TRIPS
5C 7C TC TD TH,1926,TRIPS
4C 7C TC TD TH,1927,TRIPS
3C 7C TC TD TH,1928,TRIPS
2C 7C TC TD TH,1929,TRIPS
5C 6C TC TD TH,1930,TRIPS
4C 6C TC TD TH,1931,TRIPS
3C 6C TC TD TH,1932,TRIPS
2C 6C TC TD TH,1933,TRIPS
4C 5C TC TD TH,1934,TRIPS
3C 5C TC TD TH,1935,TRIPS
2C 5C TC TD TH,1936,TRIPS
3C 4C TC TD TH,1937,TRIPS
2C 4C TC TD TH,1938,TRIPS
2C 3C TC TD TH,1939,TRIPS
9C 9D 9H KC AC,1940,TRIPS
9C 9D 9H QC AC,1941,TRIPS
9C 9D 9H JC AC,1942,TRIPS
9C 9D 9H TC AC,1943,TRIPS
8C 9C 9D 9H AC,1944,TRIPS
7C 9C 9D 9H AC,1945,TRIPS
6C 9C 9D 9H AC,1946,TRIPS
5C 9C 9D 9H AC,1947,TRIPS
4C 9C 9D 9H AC,1948,TRIPS
3C 9C 9D 9H AC,1949,TRIPS
2C 9C 9D 9H AC,1950,TRIPS
9C 9D 9H QC KC,1951,TRIPS
9C 9D 9H JC KC,1952,TRIPS
9C 9D 9H TC KC,1953,TRIPS
8C 9C 9D 9H KC,1954,TRIPS
7C 9C 9D 9H KC,1955,TRIPS
6C 9C 9D 9H KC,1956,TRIPS
5C 9C 9D 9H KC,1957,TRIPS
4C 9C 9D 9H KC,1958,TRIPS
3C 9C 9D 9H KC,1959,TRIPS
2C 9C 9D 9H KC,1960,TRIPS
9C 9D 9H JC QC,1961,TRIPS
9C 9D 9H TC QC,1962,TRIPS
8C 9C 9D 9H QC,1963,TRIPS
7C 9C 9D 9H QC,1964,TRIPS
6C 9C 9D 9H QC,1965,TRIPS
5C 9C 9D 9H QC,1966,TRIPS
4C 9C 9D 9H QC,1967,TRIPS
3C 9C 9D 9H QC,1968,TRIPS
2C 9C 9D 9H QC,1969,TRIPS
9C 9D 9H TC JC,1970,TRIPS
8C 9C 9D 9H JC,1971,TRIPS
7C 9C 9D 9H JC,1972,TRIPS
6C 9C 9D 9H JC,1973,TRIPS
5C 9C 9D 9H JC,1974,TRIPS
4C 9C 9D 9H JC,1975,TRIPS
3C 9C 9D 9H JC,1976,TRIPS
2C 9C 9D 9H JC,1977,TRIPS
8C 9C 9D 9H TC,1978,TRIPS
7C 9C 9D 9H TC,1979,TRIPS
6C 9C 9D 9H TC,1980,TRIPS
5C 9C 9D 9H TC,1981,TRIPS
4C 9C 9D 9H TC,1982,TRIPS
3C 9C 9D 9H TC,1983,TRIPS
2C 9C 9D 9H TC,1984,TRIPS
7C 8C 9C 9D 9H,1985,TRIPS
6C 8C 9C 9D 9H,1986,TRIPS
5C 8C 9C 9D 9H,1987,TRIPS
4C 8C 9C 9D 9H,1988,TRIPS
3C 8C 9C 9D 9H,1989,TRIPS
2C 8C 9C 9D 9H,1990,TRIPS
6C 7C 9C 9D 9H,1991,TRIPS
5C 7C 9C 9D 9H,1992,TRIPS
4C 7C 9C 9D 9H,1993,TRIPS
3C 7C 9C 9D 9H,1994,TRIPS
2C 7C 9C 9D 9H,1995,TRIPS
5C 6C 9C 9D 9H,1996,TRIPS
4C 6C 9C 9D 9H,1997,TRIPS
3C 6C 9C 9D 9H,1998,TRIPS
2C 6C 9C 9D 9H,1999,TRIPS
4C 5C 9C 9D 9H,2000,TRIPS
3C 5C 9C 9D 9H,2001,TRIPS
2C 5C 9C 9D 9H,2002,TRIPS
3C 4C 9C 9D 9H,2003,TRIPS
2C 4C 9C 9D 9H,2004,TRIPS
2C 3C 9C 9D 9H,2005,TRIPS
8C 8D 8H KC AC,2006,TRIPS
8C 8D 8H QC AC,2007,TRIPS
8C 8D 8H JC AC,2008,TRIPS
8C 8D 8H TC AC,2009,TRIPS
8C 8D 8H 9C AC,2010,TRIPS
7C 8C 8D 8H AC,2011,TRIPS
6C 8C 8D 8H AC,2012,TRIPS
5C 8C 8D 8H AC,2013,TRIPS
4C 8C 8D 8H AC,2014,TRIPS
3C 8C 8D 8H AC,2015,TRIPS
2C 8C 8D 8H AC,2016,TRIPS
8C 8D 8H QC KC,2017,TRIPS
8C 8D 8H JC KC,2018,TRIPS
8C 8D 8H TC KC,2019,TRIPS
8C 8D 8H 9C KC,2020,TRIPS
7C 8C 8D 8H KC,2021,TRIPS
6C 8C 8D 8H KC,2022,TRIPS
5C 8C 8D 8H KC,2023,TRIPS
4C 8C 8D 8H KC,2024,TRIPS
3C 8C 8D 8H KC,2025,TRIPS
2C 8C 8D 8H KC,2026,TRIPS
8C 8D 8H JC QC,2027,TRIPS
8C 8D 8H TC QC,2028,TRIPS
8C 8D 8H 9C QC,2029,TRIPS
7C 8C 8D 8H QC,2030,TRIPS
6C 8C 8D 8H QC,2031,TRIPS
5C 8C 8D 8H QC,2032,TRIPS
4C 8C 8D 8H QC,2033,TRIPS
3C 8C 8D 8H QC,2034,TRIPS
2C 8C 8D 8H QC,2035,TRIPS
8C 8D 8H TC JC,2036,TRIPS
8C 8D 8H 9C JC,2037,TRIPS
7C 8C 8D 8H JC,2038,TRIPS
6C 8C 8D 8H JC,2039,TRIPS
5C 8C 8D 8H JC,2040,TRIPS
4C 8C 8D 8H JC,2041,TRIPS
3C 8C 8D 8H JC,2042,TRIPS
2C 8C 8D 8H JC,2043,TRIPS
8C 8D 8H 9C TC,2044,TRIPS
7C 8C 8D 8H TC,2045,TRIPS
6C 8C 8D 8H TC,2046,TRIPS
5C 8C 8D 8H TC,2047,TRIPS
4C 8C 8D 8H TC,2048,TRIPS
3C 8C 8D 8H TC,2049,TRIPS
2C 8C 8D 8H TC,2050,TRIPS
7C 8C 8D 8H 9C,2051,TRIPS
6C 8C 8D 8H 9C,2052,TRIPS
5C 8C 8D 8H 9C,2053,TRIPS
4C 8C 8D 8H 9C,2054,TRIPS
3C 8C 8D 8H 9C,2055,TRIPS
2C 8C 8D 8H 9C,2056,TRIPS
6C 7C 8C 8D 8H,2057,TRIPS
5C 7C 8C 8D 8H,2058,TRIPS
4C 7C 8C 8D 8H,2059,TRIPS
3C 7C 8C 8D 8H,2060,TRIPS
2C 7C 8C 8D 8H,2061,TRIPS
5C 6C 8C 8D 8H,2062,TRIPS
4C 6C 8C 8D 8H,2063,TRIPS
3C 6C 8C 8D 8H,2064,TRIPS
2C 6C 8C 8D 8H,2065,TRIPS
4C 5C 8C 8D 8H,2066,TRIPS
3C 5C 8C 8D 8H,2067,TRIPS
2C 5C 8C 8D 8H,2068,TRIPS
3C 4C 8C 8D 8H,2069,TRIPS
2C 4C 8C 8D 8H,2070,TRIPS
2C 3C 8C 8D 8H,2071,TRIPS
7C 7D 7H KC AC,2072,TRIPS
7C 7D 7H QC AC,2073,TRIPS
7C 7D 7H JC AC,2074,TRIPS
7C 7D 7H TC AC,2075,TRIPS
7C 7D 7H 9C AC,2076,TRIPS
7C 7D 7H 8C AC,2077,TRIPS
6C 7C 7D 7H AC,2078,TRIPS
5C 7C 7D 7H AC,2079,TRIPS
4C 7C 7D 7H AC,2080,TRIPS
3C 7C 7D 7H AC,2081,TRIPS
2C 7C 7D 7H AC,2082,TRIPS
7C 7D 7H QC KC,2083,TRIPS
7C 7D 7H JC KC,2084,TRIPS
7C 7D 7H TC KC,2085,TRIPS
7C 7D 7H 9C KC,2086,TRIPS
7C 7D 7H 8C KC,2087,TRIPS
6C 7C 7D 7H KC,2088,TRIPS
5C 7C 7D 7H KC,2089,TRIPS
4C 7C 7D 7H KC,2090,TRIPS
3C 7C 7D 7H KC,2091,TRIPS
2C 7C 7D 7H KC,2092,TRIPS
7C 7D 7H JC QC,2093,TRIPS
7C 7D 7H TC QC,2094,TRIPS
7C 7D 7H 9C QC,2095,TRIPS
7C 7D 7H 8C QC,2096,TRIPS
6C 7C 7D 7H QC,2097,TRIPS
5C 7C 7D 7H QC,2098,TRIPS
4C 7C 7D 7H QC,2099,TRIPS
3C 7C 7D 7H QC,2100,TRIPS
2C 7C 7D 7H QC,2101,TRIPS
7C 7D 7H TC JC,2102,TRIPS
7C 7D 7H 9C JC,2103,TRIPS
7C 7D 7H 8C JC,2104,TRIPS
6C 7C 7D 7H JC,2105,TRIPS
5C 7C 7D 7H JC,2106,TRIPS
4C 7C 7D 7H JC,2107,TRIPS
3C 7C 7D 7H JC,2108,TRIPS
2C 7C 7D 7H JC,2109,TRIPS
7C 7D 7H 9C TC,2110,TRIPS
7C 7D 7H 8C TC,2111,TRIPS
6C 7C 7D 7H TC,2112,TRIPS
5C 7C 7D 7H TC,2113,TRIPS
4C 7C 7D 7H TC,2114,TRIPS
3C 7C 7D 7H TC,2115,TRIPS
2C 7C 7D 7H TC,2116,TRIPS
7C 7D 7H 8C 9C,2117,TRIPS
6C 7C 7D 7H 9C,2118,TRIPS
5C 7C 7D 7H 9C,2119,TRIPS
4C 7C 7D 7H 9C,2120,TRIPS
3C 7C 7D 7H 9C,2121,TRIPS
2C 7C 7D 7H 9C,2122,TRIPS
6C 7C 7D 7H 8C,2123,TRIPS
5C 7C 7D 7H 8C,2124,TRIPS
4C 7C 7D 7H 8C,2125,TRIPS
3C 7C 7D 7H 8C,2126,TRIPS
2C 7C 7D 7H 8C,2127,TRIPS
5C 6C 7C 7D 7H,2128,TRIPS
4C 6C 7C 7D 7H,2129,TRIPS
3C 6C 7C 7D 7H,2130,TRIPS
2C 6C 7C 7D 7H,2131,TRIPS
4C 5C 7C 7D 7H,2132,TRIPS
3C 5C 7C 7D 7H,2133,TRIPS
2C 5C 7C 7D 7H,2134,TRIPS
3C 4C 7C 7D 7H,2135,TRIPS
2C 4C 7C 7D 7H,2136,TRIPS
2C 3C 7C 7D 7H,2137,TRIPS
6C 6D 6H KC AC,2138,TRIPS
6C 6D 6H QC AC,2139,TRIPS
6C 6D 6H JC AC,2140,TRIPS
6C 6D 6H TC AC,2141,TRIPS
6C 6D 6H 9C AC,2142,TRIPS
6C 6D 6H 8C AC,2143,TRIPS
6C 6D 6H 7C AC,2144,TRIPS
5C 6C 6D 6H AC,2145,TRIPS
4C 6C 6D 6H AC,2146,TRIPS
3C 6C 6D 6H AC,2147,TRIPS
2C 6C 6D 6H AC,2148,TRIPS
6C 6D 6H QC KC,2149,TRIPS
6C 6D 6H JC KC,2150,TRIPS
6C 6D 6H TC KC,2151,TRIPS
6C 6D 6H 9C KC,2152,TRIPS
6C 6D 6H 8C KC,2153,TRIPS
6C 6D 6H 7C KC,2154,TRIPS
5C 6C 6D 6H KC,2155,TRIPS
4C 6C 6D 6H KC,2156,TRIPS
3C 6C 6D 6H KC,2157,TRIPS
2C 6C 6D 6H KC,2158,TRIPS
6C 6D 6H JC QC,2159,TRIPS
6C 6D 6H TC QC,2160,TRIPS
6C 6D 6H 9C QC,2161,TRIPS
6C 6D 6H 8C QC,2162,TRIPS
6C 6D 6H 7C QC,2163,TRIPS
5C 6C 6D 6H QC,2164,TRIPS
4C 6C 6D 6H QC,2165,TRIPS
3C 6C 6D 6H QC,2166,TRIPS
2C 6C 6D 6H QC,2167,TRIPS
6C 6D 6H TC JC,2168,TRIPS
6C 6D 6H 9C JC,2169,TRIPS
6C 6D 6H 8C JC,2170,TRIPS
6C 6D 6H 7C JC,2171,TRIPS
5C 6C 6D 6H JC,2172,TRIPS
4C 6C 6D 6H JC,2173,TRIPS
3C 6C 6D 6H JC,2174,TRIPS
2C 6C 6D 6H JC,2175,TRIPS
6C 6D 6H 9C TC,2176,TRIPS
6C 6D 6H 8C TC,2177,TRIPS
6C 6D 6H 7C TC,2178,TRIPS
5C 6C 6D 6H TC,2179,TRIPS
4C 6C 6D 6H TC,2180,TRIPS
3C 6C 6D 6H TC,2181,TRIPS
2C 6C 6D 6H TC,2182,TRIPS
6C 6D 6H 8C 9C,2183,TRIPS
6C 6D 6H 7C 9C,2184,TRIPS
5C 6C 6D 6H 9C,2185,TRIPS
4C 6C 6D 6H 9C,2186,TRIPS
3C 6C 6D 6H 9C,2187,TRIPS
2C 6C 6D 6H 9C,2188,TRIPS
6C 6D 6H 7C 8C,2189,TRIPS
5C 6C 6D 6H 8C,2190,TRIPS
4C 6C 6D 6H 8C,2191,TRIPS
3C 6C 6D 6H 8C,2192,TRIPS
2C 6C 6D 6H 8C,2193,TRIPS
5C 6C 6D 6H 7C,2194,TRIPS
4C 6C 6D 6H 7C,2195,TRIPS
3C 6C 6D 6H 7C,2196,TRIPS
2C 6C 6D 6H 7C,2197,TRIPS
4C 5C 6C 6D 6H,2198,TRIPS
3C 5C 6C 6D 6H,2199,TRIPS
2C 5C 6C 6D 6H,2200,TRIPS
3C 4C 6C 6D 6H,2201,TRIPS
2C 4C 6C 6D 6H,2202,TRIPS
2C 3C 6C 6D 6H,2203,TRIPS
5C 5D 5H KC AC,2204,TRIPS
5C 5D 5H QC AC,2205,TRIPS
5C 5D 5H JC AC,2206,TRIPS
5C 5D 5H TC AC,2207,TRIPS
5C 5D 5H 9C AC,2208,TRIPS
5C 5D 5H 8C AC,2209,TRIPS
5C 5D 5H 7C AC,2210,TRIPS
5C 5D 5H 6C AC,2211,TRIPS
4C 5C 5D 5H AC,2212,TRIPS
3C 5C 5D 5H AC,2213,TRIPS
2C 5C 5D 5H AC,2214,TRIPS
5C 5D 5H QC KC,2215,TRIPS
5C 5D 5H JC KC,2216,TRIPS
5C 5D 5H TC KC,2217,TRIPS
5C 5D 5H 9C KC,2218,TRIPS
5C 5D 5H 8C KC,2219,TRIPS
5C 5D 5H 7C KC,2220,TRIPS
5C 5D 5H 6C KC,2221,TRIPS
4C 5C 5D 5H KC,2222,TRIPS
3C 5C 5D 5H KC,2223,TRIPS
2C 5C 5D 5H KC,2224,TRIPS
5C 5D 5H JC QC,2225,TRIPS
5C 5D 5H TC QC,2226,TRIPS
5C 5D 5H 9C QC,2227,TRIPS
5C 5D 5H 8C QC,2228,TRIPS
5C 5D 5H 7C QC,2229,TRIPS
5C 5D 5H 6C QC,2230,TRIPS
4C 5C 5D 5H QC,2231,TRIPS
3C 5C 5D 5H QC,2232,TRIPS
2C 5C 5D 5H QC,2233,TRIPS
5C 5D 5H TC JC,2234,TRIPS
5C 5D 5H 9C JC,2235,TRIPS
5C 5D 5H 8C JC,2236,TRIPS
5C 5D 5H 7C JC,2237,TRIPS
5C 5D 5H 6C JC,2238,TRIPS
4C 5C 5D 5H JC,2239,TRIPS
3C 5C 5D 5H JC,2240,TRIPS
2C 5C 5D 5H JC,2241,TRIPS
5C 5D 5H 9C TC,2242,TRIPS
5C 5D 5H 8C TC,2243,TRIPS
5C 5D 5H 7C TC,2244,TRIPS
5C 5D 5H 6C TC,2245,TRIPS
4C 5C 5D 5H TC,2246,TRIPS
3C 5C 5D 5H TC,2247,TRIPS
2C 5C 5D 5H TC,2248,TRIPS
5C 5D 5H 8C 9C,2249,TRIPS
5C 5D 5H 7C 9C,2250,TRIPS
5C 5D 5H 6C 9C,2251,TRIPS
4C 5C 5D 5H 9C,2252,TRIPS
3C 5C 5D 5H 9C,2253,TRIPS
2C 5C 5D 5H 9C,2254,TRIPS
5C 5D 5H 7C 8C,2255,TRIPS
5C 5D 5H 6C 8C,2256,TRIPS
4C 5C 5D 5H 8C,2257,TRIPS
3C 5C 5D 5H 8C,2258,TRIPS
2C 5C 5D 5H 8C,2259,TRIPS
5C 5D 5H 6C 7C,2260,TRIPS
4C 5C 5D 5H 7C,2261,TRIPS
3C 5C 5D 5H 7C,2262,TRIPS
2C 5C 5D 5H 7C,2263,TRIPS
4C 5C 5D 5H 6C,2264,TRIPS
3C 5C 5D 5H 6C,2265,TRIPS
2C 5C 5D 5H 6C,2266,TRIPS
3C 4C 5C 5D 5H,2267,TRIPS
2C 4C 5C 5D 5H,2268,TRIPS
2C 3C 5C 5D 5H,2269,TRIPS
4C 4D 4H KC AC,2270,TRIPS
4C 4D 4H QC AC,2271,TRIPS
4C 4D 4H JC AC,2272,TRIPS
4C 4D 4H TC AC,2273,TRIPS
4C 4D 4H 9C AC,2274,TRIPS
4C 4D 4H 8C AC,2275,TRIPS
4C 4D 4H 7C AC,2276,TRIPS
4C 4D 4H 6C AC,2277,TRIPS
4C 4D 4H 5C AC,2278,TRIPS
3C 4C 4D 4H AC,2279,TRIPS
2C 4C 4D 4H AC,2280,TRIPS
4C 4D 4H QC KC,2281,TRIPS
4C 4D 4H JC KC,2282,TRIPS
4C 4D 4H TC KC,2283,TRIPS
4C 4D 4H 9C KC,2284,TRIPS
4C 4D 4H 8C KC,2285,TRIPS
4C 4D 4H 7C KC,2286,TRIPS
4C 4D 4H 6C KC,2287,TRIPS
4C 4D 4H 5C KC,2288,TRIPS
3C 4C 4D 4H KC,2289,TRIPS
2C 4C 4D 4H KC,2290,TRIPS
4C 4D 4H JC QC,2291,TRIPS
4C 4D 4H TC QC,2292,TRIPS
4C 4D 4H 9C QC,2293,TRIPS
4C 4D 4H 8C QC,2294,TRIPS
4C 4D 4H 7C QC,2295,TRIPS
4C 4D 4H 6C QC,2296,TRIPS
4C 4D 4H 5C QC,2297,TRIPS
3C 4C 4D 4H QC,2298,TRIPS
2C 4C 4D 4H QC,2299,TRIPS
4C 4D 4H TC JC,2300,TRIPS
4C 4D 4H 9C JC,2301,TRIPS
4C 4D 4H 8C JC,2302,TRIPS
4C 4D 4H 7C JC,2303,TRIPS
4C 4D 4H 6C JC,2304,TRIPS
4C 4D 4H 5C JC,2305,TRIPS
3C 4C 4D 4H JC,2306,TRIPS
2C 4C 4D 4H JC,2307,TRIPS
4C 4D 4H 9C TC,2308,TRIPS
4C 4D 4H 8C TC,2309,TRIPS
4C 4D 4H 7C TC,2310,TRIPS
4C 4D 4H 6C TC,2311,TRIPS
4C 4D 4H 5C TC,2312,TRIPS
3C 4C 4D 4H TC,2313,TRIPS
2C 4C 4D 4H TC,2314,TRIPS
4C 4D 4H 8C 9C,2315,TRIPS
4C 4D 4H 7C 9C,2316,TRIPS
4C 4D 4H 6C 9C,2317,TRIPS
4C 4D 4H 5C 9C,2318,TRIPS
3C 4C 4D 4H 9C,2319,TRIPS
2C 4C 4D 4H 9C,2320,TRIPS
4C 4D 4H 7C 8C,2321,TRIPS
4C 4D 4H 6C 8C,2322,TRIPS
4C 4D 4H 5C 8C,2323,TRIPS
3C 4C 4D 4H 8C,2324,TRIPS
2C 4C 4D 4H 8C,2325,TRIPS
4C 4D 4H 6C 7C,2326,TRIPS
4C 4D 4H 5C 7C,2327,TRIPS
3C 4C 4D 4H 7C,2328,TRIPS
2C 4C 4D 4H 7C,2329,TRIPS
4C 4D 4H 5C 6C,2330,TRIPS
3C 4C 4D 4H 6C,2331,TRIPS
2C 4C 4D 4H 6C,2332,TRIPS
3C 4C 4D 4H 5C,2333,TRIPS
2C 4C 4D 4H 5C,2334,TRIPS
2C 3C 4C 4D 4H,2335,TRIPS
3C 3D 3H KC AC,2336,TRIPS
3C 3D 3H QC AC,2337,TRIPS
3C 3D 3H JC AC,2338,TRIPS
3C 3D 3H TC AC,2339,TRIPS
3C 3D 3H 9C AC,2340,TRIPS
3C 3D 3H 8C AC,2341,TRIPS
3C 3D 3H 7C AC,2342,TRIPS
3C 3D 3H 6C AC,2343,TRIPS
3C 3D 3H 5C AC,2344,TRIPS
3C 3D 3H 4C AC,2345,TRIPS
2C 3C 3D 3H AC,2346,TRIPS
3C 3D 3H QC KC,2347,TRIPS
3C 3D 3H JC KC,2348,TRIPS
3C 3D 3H TC KC,2349,TRIPS
3C 3D 3H 9C KC,2350,TRIPS
3C 3D 3H 8C KC,2351,TRIPS
3C 3D 3H 7C KC,2352,TRIPS
3C 3D 3H 6C KC,2353,TRIPS
3C 3D 3H 5C KC,2354,TRIPS
3C 3D 3H 4C KC,2355,TRIPS
2C 3C 3D 3H KC,2356,TRIPS
3C 3D 3H JC QC,2357,TRIPS
3C 3D 3H TC QC,2358,TRIPS
3C 3D 3H 9C QC,2359,TRIPS
3C 3D 3H 8C QC,2360,TRIPS
3C 3D 3H 7C QC,2361,TRIPS
3C 3D 3H 6C QC,2362,TRIPS
3C 3D 3H 5C QC,2363,TRIPS
3C 3D 3H 4C QC,2364,TRIPS
2C 3C 3D 3H QC,2365,TRIPS
3C 3D 3H TC JC,2366,TRIPS
3C 3D 3H 9C JC,2367,TRIPS
3C 3D 3H 8C JC,2368,TRIPS
3C 3D 3H 7C JC,2369,TRIPS
3C 3D 3H 6C JC,2370,TRIPS
3C 3D 3H 5C JC,2371,TRIPS
3C 3D 3H 4C JC,2372,TRIPS
2C 3C 3D 3H JC,2373,TRIPS
3C 3D 3H 9C TC,2374,TRIPS
3C 3D 3H 8C TC,2375,TRIPS
3C 3D 3H 7C TC,2376,TRIPS
3C 3D 3H 6C TC,2377,TRIPS
3C 3D 3H 5C TC,2378,TRIPS
3C 3D 3H 4C TC,2379,TRIPS
2C 3C 3D 3H TC,2380,TRIPS
3C 3D 3H 8C 9C,2381,TRIPS
3C 3D 3H 7C 9C,2382,TRIPS
3C 3D 3H 6C 9C,2383,TRIPS
3C 3D 3H 5C 9C,2384,TRIPS
3C 3D 3H 4C 9C,2385,TRIPS
2C 3C 3D 3H 9C,2386,TRIPS
3C 3D 3H 7C 8C,2387,TRIPS
3C 3D 3H 6C 8C,2388,TRIPS
3C 3D 3H 5C 8C,2389,TRIPS
3C 3D 3H 4C 8C,2390,TRIPS
2C 3C 3D 3H 8C,2391,TRIPS
3C 3D 3H 6C 7C,2392,TRIPS
3C 3D 3H 5C 7C,2393,TRIPS
3C 3D 3H 4C 7C,2394,TRIPS
2C 3C 3D 3H 7C,2395,TRIPS
3C 3D 3H 5C 6C,2396,TRIPS
3C 3D 3H 4C 6C,2397,TRIPS
2C 3C 3D 3H 6C,2398,TRIPS
3C 3D 3H 4C 5C,2399,TRIPS
2C 3C 3D 3H 5C,2400,TRIPS
2C 3C 3D 3H 4C,2401,TRIPS
2C 2D 2H KC AC,2402,TRIPS
2C 2D 2H QC AC,2403,TRIPS
2C 2D 2H JC AC,2404,TRIPS
2C 2D 2H TC AC,2405,TRIPS
2C 2D 2H 9C AC,2406,TRIPS
2C 2D 2H 8C AC,2407,TRIPS
2C 2D 2H 7C AC,2408,TRIPS
2C 2D 2H 6C AC,2409,TRIPS
2C 2D 2H 5C AC,2410,TRIPS
2C 2D 2H 4C AC,2411,TRIPS
2C 2D 2H 3C AC,2412,TRIPS
2C 2D 2H QC KC,2413,TRIPS
2C 2D 2H JC KC,2414,TRIPS
2C 2D 2H TC KC,2415,TRIPS
2C 2D 2H 9C KC,2416,TRIPS
2C 2D 2H 8C KC,2417,TRIPS
2C 2D 2H 7C KC,2418,TRIPS
2C 2D 2H 6C KC,2419,TRIPS
2C 2D 2H 5C KC,2420,TRIPS
2C 2D 2H 4C KC,2421,TRIPS
2C 2D 2H 3C KC,2422,TRIPS
2C 2D 2H JC QC,2423,TRIPS
2C 2D 2H TC QC,2424,TRIPS
2C 2D 2H 9C QC,2425,TRIPS
2C 2D 2H 8C QC,2426,TRIPS
2C 2D 2H 7C QC,2427,TRIPS
2C 2D 2H 6C QC,2428,TRIPS
2C 2D 2H 5C QC,2429,TRIPS
2C 2D 2H 4C QC,2430,TRIPS
2C 2D 2H 3C QC,2431,TRIPS
2C 2D 2H TC JC,2432,TRIPS
2C 2D 2H 9C JC,2433,TRIPS
2C 2D 2H 8C JC,2434,TRIPS
2C 2D 2H 7C JC,2435,TRIPS
2C 2D 2H 6C JC,2436,TRIPS
2C 2D 2H 5C JC,2437,TRIPS
2C 2D 2H 4C JC,2438,TRIPS
2C 2D 2H 3C JC,2439,TRIPS
2C 2D 2H 9C TC,2440,TRIPS
2C 2D 2H 8C TC,2441,TRIPS
2C 2D 2H 7C TC,2442,TRIPS
2C 2D 2H 6C TC,2443,TRIPS
2C 2D 2H 5C TC,2444,TRIPS
2C 2D 2H 4C TC,2445,TRIPS
2C 2D 2H 3C TC,2446,TRIPS
