cards,rank,hand_class
2C 2D 2H 2S AC,155,QUADS
2C 2D 2H 2S KC,156,QUADS
2C 2D 2H 2S QC,157,QUADS
2C 2D 2H 2S JC,158,QUADS
2C 2D 2H 2S TC,159,QUADS
2C 2D 2H 2S 9C,160,QUADS
2C 2D 2H 2S 8C,161,QUADS
2C 2D 2H 2S 7C,162,QUADS
2C 2D 2H 2S 6C,163,QUADS
2C 2D 2H 2S 5C,164,QUADS
2C 2D 2H 2S 4C,165,QUADS
2C 2D 2H 2S 3C,166,QUADS
KC KD AC AD AH,167,FULL_HOUSE
QC QD AC AD AH,168,FULL_HOUSE
JC JD AC AD AH,169,FULL_HOUSE
TC TD AC AD AH,170,FULL_HOUSE
9C 9D AC AD AH,171,FULL_HOUSE
8C 8D AC AD AH,172,FULL_HOUSE
7C 7D AC AD AH,173,FULL_HOUSE
6C 6D AC AD AH,174,FULL_HOUSE
5C 5D AC AD AH,175,FULL_HOUSE
4C 4D AC AD AH,176,FULL_HOUSE
3C 3D AC AD AH,177,FULL_HOUSE
2C 2D AC AD AH,178,FULL_HOUSE
KC KD KH AC AD,179,FULL_HOUSE
QC QD KC KD KH,180,FULL_HOUSE
JC JD KC KD KH,181,FULL_HOUSE
TC TD KC KD KH,182,FULL_HOUSE
9C 9D KC KD KH,183,FULL_HOUSE
8C 8D KC KD KH,184,FULL_HOUSE
7C 7D KC KD KH,185,FULL_HOUSE
6C 6D KC KD KH,186,FULL_HOUSE
5C 5D KC KD KH,187,FULL_HOUSE
4C 4D KC KD KH,188,FULL_HOUSE
3C 3D KC KD KH,189,FULL_HOUSE
2C 2D KC KD KH,190,FULL_HOUSE
QC QD QH AC AD,191,FULL_HOUSE
QC QD QH KC KD,192,FULL_HOUSE
JC JD QC QD QH,193,FULL_HOUSE
TC TD QC QD QH,194,FULL_HOUSE
9C 9D QC QD QH,195,FULL_HOUSE
8C 8D QC QD QH,196,FULL_HOUSE
7C 7D QC QD QH,197,FULL_HOUSE
6C 6D QC QD QH,198,FULL_HOUSE
5C 5D QC QD QH,199,FULL_HOUSE
4C 4D QC QD QH,200,FULL_HOUSE
3C 3D QC QD QH,201,FULL_HOUSE
2C 2D QC QD QH,202,FULL_HOUSE
JC JD JH AC AD,203,FULL_HOUSE
JC JD JH KC KD,204,FULL_HOUSE
JC JD JH QC QD,205,FULL_HOUSE
TC TD JC JD JH,206,FULL_HOUSE
9C 9D JC JD JH,207,FULL_HOUSE
8C 8D JC JD JH,208,FULL_HOUSE
7C 7D JC JD JH,209,FULL_HOUSE
6C 6D JC JD JH,210,FULL_HOUSE
5C 5D JC JD JH,211,FULL_HOUSE
4C 4D JC JD JH,212,FULL_HOUSE
3C 3D JC JD JH,213,FULL_HOUSE
2C 2D JC JD JH,214,FULL_HOUSE
TC TD TH AC AD,215,FULL_HOUSE
TC TD TH KC KD,216,FULL_HOUSE
TC TD TH QC QD,217,FULL_HOUSE
TC TD TH JC JD,218,FULL_HOUSE
9C 9D TC TD TH,219,FULL_HOUSE
8C 8D TC TD TH,220,FULL_HOUSE
7C 7D TC TD TH,221,FULL_HOUSE
6C 6D TC TD TH,222,FULL_HOUSE
5C 5D TC TD TH,223,FULL_HOUSE
4C 4D TC TD TH,224,FULL_HOUSE
3C 3D TC TD TH,225,FULL_HOUSE
2C 2D TC TD TH,226,FULL_HOUSE
9C 9D 9H AC AD,227,FULL_HOUSE
9C 9D 9H KC KD,228,FULL_HOUSE
9C 9D 9H QC QD,229,FULL_HOUSE
9C 9D 9H JC JD,230,FULL_HOUSE
9C 9D 9H TC TD,231,FULL_HOUSE
8C 8D 9C 9D 9H,232,FULL_HOUSE
7C 7D 9C 9D 9H,233,FULL_HOUSE
6C 6D 9C 9D 9H,234,FULL_HOUSE
5C 5D 9C 9D 9H,235,FULL_HOUSE
4C 4D 9C 9D 9H,236,FULL_HOUSE
3C 3D 9C 9D 9H,237,FULL_HOUSE
2C 2D 9C 9D 9H,238,FULL_HOUSE
8C 8D 8H AC AD,239,FULL_HOUSE
8C 8D 8H KC KD,240,FULL_HOUSE
8C 8D 8H QC QD,241,FULL_HOUSE
8C 8D 8H JC JD,242,FULL_HOUSE
8C 8D 8H TC TD,243,FULL_HOUSE
8C 8D 8H 9C 9D,244,FULL_HOUSE
7C 7D 8C 8D 8H,245,FULL_HOUSE
6C 6D 8C 8D 8H,246,FULL_HOUSE
5C 5D 8C 8D 8H,247,FULL_HOUSE
4C 4D 8C 8D 8H,248,FULL_HOUSE
3C 3D 8C 8D 8H,249,FULL_HOUSE
2C 2D 8C 8D 8H,250,FULL_HOUSE
7C 7D 7H AC AD,251,FULL_HOUSE
7C 7D 7H KC KD,252,FULL_HOUSE
7C 7D 7H QC QD,253,FULL_HOUSE
7C 7D 7H JC JD,254,FULL_HOUSE
7C 7D 7H TC TD,255,FULL_HOUSE
7C 7D 7H 9C 9D,256,FULL_HOUSE
7C 7D 7H 8C 8D,257,FULL_HOUSE
6C 6D 7C 7D 7H,258,FULL_HOUSE
5C 5D 7C 7D 7H,259,FULL_HOUSE
4C 4D 7C 7D 7H,260,FULL_HOUSE
3C 3D 7C 7D 7H,261,FULL_HOUSE
2C 2D 7C 7D 7H,262,FULL_HOUSE
6C 6D 6H AC AD,263,FULL_HOUSE
6C 6D 6H KC KD,264,FULL_HOUSE
6C 6D 6H QC QD,265,FULL_HOUSE
6C 6D 6H JC JD,266,FULL_HOUSE
6C 6D 6H TC TD,267,FULL_HOUSE
6C 6D 6H 9C 9D,268,FULL_HOUSE
6C 6D 6H 8C 8D,269,FULL_HOUSE
6C 6D 6H 7C 7D,270,FULL_HOUSE
5C 5D 6C 6D 6H,271,FULL_HOUSE
4C 4D 6C 6D 6H,272,FULL_HOUSE
3C 3D 6C 6D 6H,273,FULL_HOUSE
2C 2D 6C 6D 6H,274,FULL_HOUSE
5C 5D 5H AC AD,275,FULL_HOUSE
5C 5D 5H KC KD,276,FULL_HOUSE
5C 5D 5H QC QD,277,FULL_HOUSE
5C 5D 5H JC JD,278,FULL_HOUSE
5C 5D 5H TC TD,279,FULL_HOUSE
5C 5D 5H 9C 9D,280,FULL_HOUSE
5C 5D 5H 8C 8D,281,FULL_HOUSE
5C 5D 5H 7C 7D,282,FULL_HOUSE
5C 5D 5H 6C 6D,283,FULL_HOUSE
4C 4D 5C 5D 5H,284,FULL_HOUSE
3C 3D 5C 5D 5H,285,FULL_HOUSE
2C 2D 5C 5D 5H,286,FULL_HOUSE
4C 4D 4H AC AD,287,FULL_HOUSE
4C 4D 4H KC KD,288,FULL_HOUSE
4C 4D 4H QC QD,289,FULL_HOUSE
4C 4D 4H JC JD,290,FULL_HOUSE
4C 4D 4H TC TD,291,FULL_HOUSE
4C 4D 4H 9C 9D,292,FULL_HOUSE
4C 4D 4H 8C 8D,293,FULL_HOUSE
4C 4D 4H 7C 7D,294,FULL_HOUSE
4C 4D 4H 6C 6D,295,FULL_HOUSE
4C 4D 4H 5C 5D,296,FULL_HOUSE
3C 3D 4C 4D 4H,297,FULL_HOUSE
2C 2D 4C 4D 4H,298,FULL_HOUSE
3C 3D 3H AC AD,299,FULL_HOUSE
3C 3D 3H KC KD,300,FULL_HOUSE
3C 3D 3H QC QD,301,FULL_HOUSE
3C 3D 3H JC JD,302,FULL_HOUSE
3C 3D 3H TC TD,303,FULL_HOUSE
3C 3D 3H 9C 9D,304,FULL_HOUSE
3C 3D 3H 8C 8D,305,FULL_HOUSE
3C 3D 3H 7C 7D,306,FULL_HOUSE
3C 3D 3H 6C 6D,307,FULL_HOUSE
3C 3D 3H 5C 5D,308,FULL_HOUSE
3C 3D 3H 4C 4D,309,FULL_HOUSE
2C 2D 3C 3D 3H,310,FULL_HOUSE
2C 2D 2H AC AD,311,FULL_HOUSE
2C 2D 2H KC KD,312,FULL_HOUSE
2C 2D 2H QC QD,313,FULL_HOUSE
2C 2D 2H JC JD,314,FULL_HOUSE
2C 2D 2H TC TD,315,FULL_HOUSE
2C 2D 2H 9C 9D,316,FULL_HOUSE
2C 2D 2H 8C 8D,317,FULL_HOUSE
2C 2D 2H 7C 7D,318,FULL_HOUSE
2C 2D 2H 6C 6D,319,FULL_HOUSE
2C 2D 2H 5C 5D,320,FULL_HOUSE
2C 2D 2H 4C 4D,321,FULL_HOUSE
2C 2D 2H 3C 3D,322,FULL_HOUSE
9C JC QC KC AC,323,FLUSH
8C JC QC KC AC,324,FLUSH
7C JC QC KC AC,325,FLUSH
6C JC QC KC AC,326,FLUSH
5C JC QC KC AC,327,FLUSH
4C JC QC KC AC,328,FLUSH
3C JC QC KC AC,329,FLUSH
2C JC QC KC AC,330,FLUSH
9C TC QC KC AC,331,FLUSH
8C TC QC KC AC,332,FLUSH
7C TC QC KC AC,333,FLUSH
6C TC QC KC AC,334,FLUSH
5C TC QC KC AC,335,FLUSH
4C TC QC KC AC,336,FLUSH
3C TC QC KC AC,337,FLUSH
2C TC QC KC AC,338,FLUSH
8C 9C QC KC AC,339,FLUSH
7C 9C QC KC AC,340,FLUSH
6C 9C QC KC AC,341,FLUSH
5C 9C QC KC AC,342,FLUSH
4C 9C QC KC AC,343,FLUSH
3C 9C QC KC AC,344,FLUSH
2C 9C QC KC AC,345,FLUSH
7C 8C QC KC AC,346,FLUSH
6C 8C QC KC AC,347,FLUSH
5C 8C QC KC AC,348,FLUSH
4C 8C QC KC AC,349,FLUSH
3C 8C QC KC AC,350,FLUSH
2C 8C QC KC AC,351,FLUSH
6C 7C QC KC AC,352,FLUSH
5C 7C QC KC AC,353,FLUSH
4C 7C QC KC AC,354,FLUSH
3C 7C QC KC AC,355,FLUSH
2C 7C QC KC AC,356,FLUSH
5C 6C QC KC AC,357,FLUSH
4C 6C QC KC AC,358,FLUSH
3C 6C QC KC AC,359,FLUSH
2C 6C QC KC AC,360,FLUSH
4C 5C QC KC AC,361,FLUSH
3C 5C QC KC AC,362,FLUSH
2C 5C QC KC AC,363,FLUSH
3C 4C QC KC AC,364,FLUSH
2C 4C QC KC AC,365,FLUSH
2C 3C QC KC AC,366,FLUSH
9C TC JC KC AC,367,FLUSH
8C TC JC KC AC,368,FLUSH
7C TC JC KC AC,369,FLUSH
6C TC JC KC AC,370,FLUSH
5C TC JC KC AC,371,FLUSH
4C TC JC KC AC,372,FLUSH
3C TC JC KC AC,373,FLUSH
2C TC JC KC AC,374,FLUSH
8C 9C JC KC AC,375,FLUSH
7C 9C JC KC AC,376,FLUSH
6C 9C JC KC AC,377,FLUSH
5C 9C JC KC AC,378,FLUSH
4C 9C JC KC AC,379,FLUSH
3C 9C JC KC AC,380,FLUSH
2C 9C JC KC AC,381,FLUSH
7C 8C JC KC AC,382,FLUSH
6C 8C JC KC AC,383,FLUSH
5C 8C JC KC AC,384,FLUSH
4C 8C JC KC AC,385,FLUSH
3C 8C JC KC AC,386,FLUSH
2C 8C JC KC AC,387,FLUSH
6C 7C JC KC AC,388,FLUSH
5C 7C JC KC AC,389,FLUSH
4C 7C JC KC AC,390,FLUSH
3C 7C JC KC AC,391,FLUSH
2C 7C JC KC AC,392,FLUSH
5C 6C JC KC AC,393,FLUSH
4C 6C JC KC AC,394,FLUSH
3C 6C JC KC AC,395,FLUSH
2C 6C JC KC AC,396,FLUSH
4C 5C JC KC AC,397,FLUSH
3C 5C JC KC AC,398,FLUSH
2C 5C JC KC AC,399,FLUSH
3C 4C JC KC AC,400,FLUSH
2C 4C JC KC AC,401,FLUSH
2C 3C JC KC AC,402,FLUSH
8C 9C TC KC AC,403,FLUSH
7C 9C TC KC AC,404,FLUSH
6C 9C TC KC AC,405,FLUSH
5C 9C TC KC AC,406,FLUSH
4C 9C TC KC AC,407,FLUSH
3C 9C TC KC AC,408,FLUSH
2C 9C TC KC AC,409,FLUSH
7C 8C TC KC AC,410,FLUSH
6C 8C TC KC AC,411,FLUSH
5C 8C TC KC AC,412,FLUSH
4C 8C TC KC AC,413,FLUSH
3C 8C TC KC AC,414,FLUSH
2C 8C TC KC AC,415,FLUSH
6C 7C TC KC AC,416,FLUSH
5C 7C TC KC AC,417,FLUSH
4C 7C TC KC AC,418,FLUSH
3C 7C TC KC AC,419,FLUSH
2C 7C TC KC AC,420,FLUSH
5C 6C TC KC AC,421,FLUSH
4C 6C TC KC AC,422,FLUSH
3C 6C TC KC AC,423,FLUSH
2C 6C TC KC AC,424,FLUSH
4C 5C TC KC AC,425,FLUSH
3C 5C TC KC AC,426,FLUSH
2C 5C TC KC AC,427,FLUSH
3C 4C TC KC AC,428,FLUSH
2C 4C TC KC AC,429,FLUSH
2C 3C TC KC AC,430,FLUSH
7C 8C 9C KC AC,431,FLUSH
6C 8C 9C KC AC,432,FLUSH
5C 8C 9C KC AC,433,FLUSH
4C 8C 9C KC AC,434,FLUSH
3C 8C 9C KC AC,435,FLUSH
2C 8C 9C KC AC,436,FLUSH
6C 7C 9C KC AC,437,FLUSH
5C 7C 9C KC AC,438,FLUSH
4C 7C 9C KC AC,439,FLUSH
3C 7C 9C KC AC,440,FLUSH
2C 7C 9C KC AC,441,FLUSH
5C 6C 9C KC AC,442,FLUSH
4C 6C 9C KC AC,443,FLUSH
3C 6C 9C KC AC,444,FLUSH
2C 6C 9C KC AC,445,FLUSH
4C 5C 9C KC AC,446,FLUSH
3C 5C 9C KC AC,447,FLUSH
2C 5C 9C KC AC,448,FLUSH
3C 4C 9C KC AC,449,FLUSH
2C 4C 9C KC AC,450,FLUSH
2C 3C 9C KC AC,451,FLUSH
6C 7C 8C KC AC,452,FLUSH
5C 7C 8C KC AC,453,FLUSH
4C 7C 8C KC AC,454,FLUSH
3C 7C 8C KC AC,455,FLUSH
2C 7C 8C KC AC,456,FLUSH
5C 6C 8C KC AC,457,FLUSH
4C 6C 8C KC AC,458,FLUSH
3C 6C 8C KC AC,459,FLUSH
2C 6C 8C KC AC,460,FLUSH
4C 5C 8C KC AC,461,FLUSH
3C 5C 8C KC AC,462,FLUSH
2C 5C 8C KC AC,463,FLUSH
3C 4C 8C KC AC,464,FLUSH
2C 4C 8C KC AC,465,FLUSH
2C 3C 8C KC AC,466,FLUSH
5C 6C 7C KC AC,467,FLUSH
4C 6C 7C KC AC,468,FLUSH
3C 6C 7C KC AC,469,FLUSH
2C 6C 7C KC AC,470,FLUSH
4C 5C 7C KC AC,471,FLUSH
3C 5C 7C KC AC,472,FLUSH
2C 5C 7C KC AC,473,FLUSH
3C 4C 7C KC AC,474,FLUSH
2C 4C 7C KC AC,475,FLUSH
2C 3C 7C KC AC,476,FLUSH
4C 5C 6C KC AC,477,FLUSH
3C 5C 6C KC AC,478,FLUSH
2C 5C 6C KC AC,479,FLUSH
3C 4C 6C KC AC,480,FLUSH
2C 4C 6C KC AC,481,FLUSH
2C 3C 6C KC AC,482,FLUSH
3C 4C 5C KC AC,483,FLUSH
2C 4C 5C KC AC,484,FLUSH
2C 3C 5C KC AC,485,FLUSH
2C 3C 4C KC AC,486,FLUSH
9C TC JC QC AC,487,FLUSH
8C TC JC QC AC,488,FLUSH
7C TC JC QC AC,489,FLUSH
6C TC JC QC AC,490,FLUSH
5C TC JC QC AC,491,FLUSH
4C TC JC QC AC,492,FLUSH
3C TC JC QC AC,493,FLUSH
2C TC JC QC AC,494,FLUSH
8C 9C JC QC AC,495,FLUSH
7C 9C JC QC AC,496,FLUSH
6C 9C JC QC AC,497,FLUSH
5C 9C JC QC AC,498,FLUSH
4C 9C JC QC AC,499,FLUSH
3C 9C JC QC AC,500,FLUSH
2C 9C JC QC AC,501,FLUSH
7C 8C JC QC AC,502,FLUSH
6C 8C JC QC AC,503,FLUSH
5C 8C JC QC AC,504,FLUSH
4C 8C JC QC AC,505,FLUSH
3C 8C JC QC AC,506,FLUSH
2C 8C JC QC AC,507,FLUSH
6C 7C JC QC AC,508,FLUSH
5C 7C JC QC AC,509,FLUSH
4C 7C JC QC AC,510,FLUSH
3C 7C JC QC AC,511,FLUSH
2C 7C JC QC AC,512,FLUSH
5C 6C JC QC AC,513,FLUSH
4C 6C JC QC AC,514,FLUSH
3C 6C JC QC AC,515,FLUSH
2C 6C JC QC AC,516,FLUSH
4C 5C JC QC AC,517,FLUSH
3C 5C JC QC AC,518,FLUSH
2C 5C JC QC AC,519,FLUSH
3C 4C JC QC AC,520,FLUSH
2C 4C JC QC AC,521,FLUSH
2C 3C JC QC AC,522,FLUSH
8C 9C TC QC AC,523,FLUSH
7C 9C TC QC AC,524,FLUSH
6C 9C TC QC AC,525,FLUSH
5C 9C TC QC AC,526,FLUSH
4C 9C TC QC AC,527,FLUSH
3C 9C TC QC AC,528,FLUSH
2C 9C TC QC AC,529,FLUSH
7C 8C TC QC AC,530,FLUSH
6C 8C TC QC AC,531,FLUSH
5C 8C TC QC AC,532,FLUSH
4C 8C TC QC AC,533,FLUSH
3C 8C TC QC AC,534,FLUSH
2C 8C TC QC AC,535,FLUSH
6C 7C TC QC AC,536,FLUSH
5C 7C TC QC AC,537,FLUSH
4C 7C TC QC AC,538,FLUSH
3C 7C TC QC AC,539,FLUSH
2C 7C TC QC AC,540,FLUSH
5C 6C TC QC AC,541,FLUSH
4C 6C TC QC AC,542,FLUSH
3C 6C TC QC AC,543,FLUSH
2C 6C TC QC AC,544,FLUSH
